Title,Director,Duration,Actor_1,Actor_2,Actor_3,Gross,Budget,Year
Superman IV: The Quest for Peace ,Sidney J. Furie,134,Jim Broadbent,Margot Kidder,William Hootkins,15681020,17000000,1987
How She Move ,Ian Iqbal Rashid,94,DeRay Davis,Clé Bennett,Conrad Coates,7070459,,2007
Running Scared ,Wayne Kramer,122,Paul Walker,Chazz Palminteri,Ivana Milicevic,6855137,17000000,2006
Bobby Jones: Stroke of Genius ,Rowdy Herrington,128,Aidan Quinn,Jeremy Northam,Paul Freeman,2694071,,2004
Shanghai Surprise ,Jim Goddard,97,Victor Wong,Paul Freeman,Clyde Kusatsu,2315683,17000000,1986
The Illusionist ,Neil Burger,110,Rufus Sewell,Eddie Marsan,Jake Wood,39825798,16000000,2006
Roar ,Noel Marshall,102,Tippi Hedren,Melanie Griffith,Zakes Mokae,2000000,17000000,1981
Veronica Guerin ,Joel Schumacher,98,Brenda Fricker,David Murray,Gerard McSorley,1569918,17000000,2003
Escobar: Paradise Lost ,Andrea Di Stefano,120,Josh Hutcherson,Brady Corbet,Carlos Bardem,106869,17000000,2014
Southland Tales ,Richard Kelly,160,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,273420,17000000,2006
Dragon Hunters ,Guillaume Ivernel,80,Rob Paulsen,Jess Harnell,Mary Mouser,,11000000,2008
Damnation Alley ,Jack Smight,91,George Peppard,Jan-Michael Vincent,Paul Winfield,,17000000,1977
The Apparition ,Todd Lincoln,83,Julianna Guill,Rick Gomez,Tim Williams,4930798,17000000,2012
My Girl ,Howard Zieff,102,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,59847242,16500000,1991
Fur: An Imaginary Portrait of Diane Arbus ,Steven Shainberg,122,Robert Downey Jr.,Ty Burrell,Matt Servitto,220914,16800000,2006
The Illusionist ,Neil Burger,110,Rufus Sewell,Eddie Marsan,Jake Wood,39825798,16000000,2006
Wall Street ,Oliver Stone,126,Hal Holbrook,Tamara Tunie,James Karen,43848100,15000000,1987
Sense and Sensibility ,Ang Lee,136,Alan Rickman,Kate Winslet,Tom Wilkinson,42700000,16500000,1995
Becoming Jane ,Julian Jarrold,120,Anne Hathaway,Julie Walters,Laurence Fox,18663911,16500000,2007
Sydney White ,Joe Nussbaum,108,Danny Strong,Matt Long,Samm Levine,11702090,16500000,2007
House of Sand and Fog ,Vadim Perelman,126,Frances Fisher,Kim Dickens,Ron Eldard,13005485,15000000,2003
Dead Poets Society ,Peter Weir,128,Robin Williams,Josh Charles,Kurtwood Smith,95860116,16400000,1989
Dumb & Dumber ,Peter Farrelly,113,Lauren Holly,Mike Starr,Teri Garr,127175354,16000000,1994
When Harry Met Sally... ,Rob Reiner,89,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak,92823600,16000000,1989
The Verdict ,Sidney Lumet,129,Charlotte Rampling,James Mason,Jack Warden,54000000,16000000,1982
Road Trip ,Todd Phillips,94,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,68525609,15600000,2000
Varsity Blues ,Brian Robbins,106,Paul Walker,Ron Lester,Mark Walters,52885587,16000000,1999
The Artist ,Michel Hazanavicius,100,Bérénice Bejo,Ed Lauter,Beth Grant,44667095,15000000,2011
The Unborn ,David S. Goyer,89,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,42638165,16000000,2009
Moonrise Kingdom ,Wes Anderson,94,Bruce Willis,Bill Murray,Bob Balaban,45507053,16000000,2012
The Texas Chainsaw Massacre: The Beginning ,Jonathan Liebesman,83,Matt Bomer,Jordana Brewster,Lew Temple,39511038,16000000,2006
The Young Messiah ,Cyrus Nowrasteh,111,Clive Russell,Vincent Walsh,Finn Ireland,6462576,18500000,2016
The Master of Disguise ,Perry Andelin Blake,80,Jennifer Esposito,Kenan Thompson,James Brolin,40363530,16000000,2002
Pan's Labyrinth ,Guillermo del Toro,112,Ivana Baquero,Maribel Verdú,Sergi López,37623143,13500000,2006
The Messengers             ,,60,Joel Courtney,Jessika Van,Riley Smith,,,
See Spot Run ,John Whitesell,94,Leslie Bibb,Angus T. Jones,Paul Sorvino,33357476,35000000,2001
Baby Boy ,John Singleton,130,Mo'Nique,Snoop Dogg,Angell Conwell,28734552,16000000,2001
The Roommate ,Christian E. Christiansen,91,Leighton Meester,Danneel Ackles,Frances Fisher,37300107,16000000,2011
Joe Dirt ,Dennie Gordon,91,Brittany Daniel,Erik Per Sullivan,Fred Ward,27087695,17700000,2001
Double Impact ,Sheldon Lettich,110,Bolo Yeung,Alonna Shaw,Kamel Krifa,30102717,15000000,1991
Hot Fuzz ,Edgar Wright,121,Bill Bailey,Joe Cornish,Billie Whitelaw,23618786,8000000,2007
The Women ,Diane English,114,Jada Pinkett Smith,Debi Mazar,Debra Messing,26896744,16500000,2008
Vicky Cristina Barcelona ,Woody Allen,96,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch,23213577,15500000,2008
Arn: The Knight Templar ,Peter Flinth,270,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez,,25000000,2007
Bad Moms ,Jon Lucas,100,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,55461307,20000000,2016
Boys and Girls ,Robert Iscove,94,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,20627372,16000000,2000
White Oleander ,Peter Kosminsky,109,Patrick Fugit,Cole Hauser,Marc Donato,16346122,16000000,2002
Jennifer's Body ,Karyn Kusama,107,J.K. Simmons,Amy Sedaris,Cynthia Stevenson,16204793,16000000,2009
Drowning Mona ,Nick Gomez,96,Will Ferrell,Jamie Lee Curtis,Tracey Walter,15427192,16000000,2000
Radio Days ,Woody Allen,88,Mike Starr,Don Pardo,Julie Kavner,14792779,16000000,1987
Left Behind ,Vic Armstrong,110,Nicolas Cage,Lea Thompson,Quinton Aaron,13998282,16000000,2014
Remember Me ,Allen Coulter,113,Robert Pattinson,Lena Olin,Ruby Jerins,19057024,16000000,2010
How to Deal ,Clare Kilner,101,Dylan Baker,Alexandra Holden,Trent Ford,14108518,16000000,2003
My Stepmother Is an Alien ,Richard Benjamin,105,Jon Lovitz,Alyson Hannigan,Tony Jay,13854000,20000000,1988
Philadelphia ,Jonathan Demme,125,Denzel Washington,Tom Hanks,Jason Robards,77324422,26000000,1993
The Thirteenth Floor ,Josef Rusnak,100,Gretchen Mol,Craig Bierko,Brad William Henke,15500000,16000000,1999
The Cookout ,Lance Rivera,97,Farrah Fawcett,Vincent Pastore,Jenifer Lewis,11540112,,2004
Meteor ,Ronald Neame,108,Martin Landau,Karl Malden,Brian Keith,,16000000,1979
Duets ,Bruce Paltrow,112,Lochlyn Munro,Marian Seldes,Huey Lewis,4734235,15000000,2000
Hollywood Ending ,Woody Allen,112,Woody Allen,Debra Messing,Treat Williams,4839383,16000000,2002
Detroit Rock City ,Adam Rifkin,95,Natasha Lyonne,Lin Shaye,Shannon Tweed,4193025,15000000,1999
Highlander ,Russell Mulcahy,110,Christopher Lambert,Jon Polito,Celia Imrie,5900000,16000000,1986
Things We Lost in the Fire ,Susanne Bier,118,Alison Lohman,Omar Benson Miller,Robin Weigert,2849142,16000000,2007
Steel ,Kenneth Johnson,97,Charles Napier,Annabeth Gish,Hill Harper,1686429,16000000,1997
The Immigrant ,James Gray,120,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan,1984743,16000000,2013
The White Countess ,James Ivory,135,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave,1666262,16000000,2005
Trance ,Danny Boyle,101,Rosario Dawson,Spencer Wilding,Tuppence Middleton,2319187,20000000,2013
Soul Plane ,Jessy Terrero,92,Mo'Nique,Snoop Dogg,Tom Arnold,13922211,16000000,2004
Welcome to the Sticks ,Dany Boon,106,Dany Boon,Kad Merad,Michel Galabru,,11000000,2008
Good ,Vicente Amorim,92,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh,23091,15000000,2008
Enter the Void ,Gaspar Noé,161,Paz de la Huerta,Emily Alyn Lind,Olly Alexander,336467,13000000,2009
Vamps ,Amy Heckerling,92,Taylor Negron,Justin Kirk,Ivan Sergei,2964,16000000,2012
Hachi: A Dog's Tale ,Lasse Hallström,93,Cary-Hiroyuki Tagawa,Sarah Roemer,Joan Allen,,16000000,2009
Zulu ,Jérôme Salle,110,Orlando Bloom,Tanya van Graan,Conrad Kemp,,16000000,2013
The Homesman ,Tommy Lee Jones,122,Barry Corbin,Tim Blake Nelson,Miranda Otto,2428883,16000000,2014
Juwanna Mann ,Jesse Vaughan,91,Vivica A. Fox,Jenifer Lewis,Kevin Pollak,13571817,15600000,2002
Lilyhammer             ,,45,Steven Van Zandt,Trond Fausa,Tommy Karlsen,,34000000,
Ararat ,Atom Egoyan,115,David Alpay,Marie-Josée Croze,Charles Aznavour,1554566,,2002
Madison ,William Bindley,94,Bruce Dern,Jake Lloyd,William Shockley,508867,,2001
Slow Burn ,Wayne Beach,93,Mekhi Phifer,LL Cool J,Fisher Stevens,1181197,15500000,2005
Wasabi ,Gérard Krawczyk,94,Carole Bouquet,Ryôko Hirosue,Michel Muller,81525,15300000,2001
Slither ,James Gunn,95,Dustin Milligan,Gregg Henry,Tania Saulnier,7774730,15500000,2006
Beverly Hills Cop ,Martin Brest,105,Judge Reinhold,Ronny Cox,James Russo,234760500,14000000,1984
Home Alone ,Chris Columbus,103,Macaulay Culkin,Devin Ratray,Catherine O'Hara,285761243,18000000,1990
3 Men and a Baby ,Leonard Nimoy,102,Tom Selleck,Ted Danson,Steve Guttenberg,167780960,11000000,1987
Tootsie ,Sydney Pollack,116,Bill Murray,Sydney Pollack,Teri Garr,177200000,22000000,1982
Top Gun ,Tony Scott,110,Tom Cruise,Tom Skerritt,Adrian Pasdar,176781728,15000000,1986
"Crouching Tiger, Hidden Dragon ",Ang Lee,120,Chen Chang,Pei-Pei Cheng,Sihung Lung,128067808,15000000,2000
American Beauty ,Sam Mendes,122,Kevin Spacey,Peter Gallagher,Ara Celi,130058047,15000000,1999
The King's Speech ,Tom Hooper,118,Colin Firth,Jennifer Ehle,Derek Jacobi,138795342,15000000,2010
Twins ,Ivan Reitman,107,Kelly Preston,Tony Jay,Hugh O'Brian,111936400,15000000,1988
Scream: The TV Series             ,,45,Bex Taylor-Klaus,Bobby Campo,Jason Wiles,,,
The Yellow Handkerchief ,Udayan Prasad,102,Kristen Stewart,Eddie Redmayne,William Hurt,317040,15500000,2008
The Color Purple ,Steven Spielberg,154,Oprah Winfrey,Rae Dawn Chong,Dana Ivey,94175854,15000000,1985
Tidal Wave ,JK Youn,103,Nicole Dionne,Ji-won Ha,Kyung-gu Sol,,,2009
Ben-Hur ,Timur Bekmambetov,141,Morgan Freeman,Ayelet Zurer,Moises Arias,,100000000,2016
The Imitation Game ,Morten Tyldum,114,Benedict Cumberbatch,Rory Kinnear,Allen Leech,91121452,14000000,2014
Private Benjamin ,Howard Zieff,109,Eileen Brennan,Albert Brooks,Alan Oppenheimer,69800000,10000000,1980
Coal Miner's Daughter ,Michael Apted,124,Sissy Spacek,Beverly D'Angelo,Levon Helm,79900000,,1980
Diary of a Wimpy Kid ,Thor Freudenthal,94,Chloë Grace Moretz,Zachary Gordon,Rachael Harris,64001297,15000000,2010
Mama ,Andrés Muschietti,100,Javier Botet,Megan Charpentier,Isabelle Nélisse,71588220,20000000,2013
Halloween ,John Carpenter,101,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,47000000,300000,1978
National Lampoon's Vacation ,Harold Ramis,98,Beverly D'Angelo,Randy Quaid,Jane Krakowski,61400000,15000000,1983
Bad Grandpa ,Jeff Tremaine,102,Jackson Nicoll,Georgina Cates,Grasie Mercedes,101978840,15000000,2013
The Queen ,Stephen Frears,94,Roger Allam,Sylvia Syms,Alex Jennings,56437947,9800000,2006
Beetlejuice ,Tim Burton,92,Catherine O'Hara,Jeffrey Jones,Glenn Shadix,73326666,15000000,1988
Why Did I Get Married? ,Tyler Perry,113,Michael Jai White,Tasha Smith,Lamman Rucker,55184721,15000000,2007
Little Women ,Gillian Armstrong,115,Christian Bale,Kirsten Dunst,Eric Stoltz,50003300,15000000,1994
The Woman in Black ,James Watkins,95,Daniel Radcliffe,Roger Allam,Jessica Raine,54322273,17000000,2012
When a Stranger Calls ,Simon West,87,Madeline Carroll,Tessa Thompson,Brian Geraghty,47860214,15000000,2006
Big Fat Liar ,Shawn Levy,88,Frankie Muniz,Donald Faison,Lee Majors,47811275,15000000,2002
The Deer Hunter ,Michael Cimino,183,Robert De Niro,Meryl Streep,John Savage,,15000000,1978
Wag the Dog ,Barry Levinson,97,Robert De Niro,Kirsten Dunst,John Michael Higgins,43022524,15000000,1997
The Lizzie McGuire Movie ,Jim Fall,94,Clayton Snyder,Adam Lamberg,Alex Borstein,42672630,17000000,2003
Snitch ,Ric Roman Waugh,112,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,42919096,15000000,2013
Krampus ,Michael Dougherty,98,Adam Scott,Conchata Ferrell,Allison Tolman,42592530,15000000,2015
The Faculty ,Robert Rodriguez,104,Jordana Brewster,Salma Hayek,Clea DuVall,40064955,15000000,1998
What's Love Got to Do with It ,Brian Gibson,118,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton,39100956,,1993
Cop Land ,James Mangold,120,Robert De Niro,Sylvester Stallone,Janeane Garofalo,44886089,10000000,1997
Not Another Teen Movie ,Joel Gallen,99,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner,37882551,16000000,2001
End of Watch ,David Ayer,109,Jake Gyllenhaal,Anna Kendrick,America Ferrera,40983001,7000000,2012
Aloha ,Cameron Crowe,105,Emma Stone,Bradley Cooper,Bill Murray,20991497,37000000,2015
The Skulls ,Rob Cohen,106,Paul Walker,Leslie Bibb,William Petersen,35007180,15000000,2000
The Theory of Everything ,James Marsh,123,Eddie Redmayne,Emily Watson,Simon McBurney,35887263,15000000,2014
Malibu's Most Wanted ,John Whitesell,86,Greg Grunberg,Regina Hall,Blair Underwood,34308901,16000000,2003
Where the Heart Is ,Matt Williams,120,Natalie Portman,James Frain,Stockard Channing,33771174,15000000,2000
Lawrence of Arabia ,David Lean,227,Claude Rains,José Ferrer,Jack Hawkins,6000000,15000000,1962
Halloween II ,Rob Zombie,119,Scout Taylor-Compton,Tyler Mane,Margot Kidder,33386128,15000000,2009
Wild ,Jean-Marc Vallée,115,Michiel Huisman,Kevin Rankin,Gaby Hoffmann,37877959,15000000,2014
The Last House on the Left ,Dennis Iliadis,114,Tony Goldwyn,Monica Potter,Martha MacIsaac,32721635,15000000,2009
The Wedding Date ,Clare Kilner,90,Jack Davenport,Debra Messing,Holland Taylor,31585300,15000000,2005
Halloween: Resurrection ,Rick Rosenthal,94,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich,30259652,15000000,2002
Clash of the Titans ,Louis Leterrier,106,Liam Neeson,Jason Flemyng,Alexa Davalos,163192114,125000000,2010
The Princess Bride ,Rob Reiner,98,Robin Wright,Carol Kane,André the Giant,30857814,16000000,1987
The Great Debaters ,Denzel Washington,126,Denzel Washington,Jurnee Smollett-Bell,John Heard,30226144,15000000,2007
Drive ,Nicolas Winding Refn,100,Ryan Gosling,Albert Brooks,Russ Tamblyn,35054909,15000000,2011
Confessions of a Teenage Drama Queen ,Sara Sugarman,89,Adam Garcia,Carol Kane,Glenne Headly,29302097,15000000,2004
The Object of My Affection ,Nicholas Hytner,111,Liam Aiken,Tim Daly,Kali Rocha,29106737,15000000,1998
28 Weeks Later ,Juan Carlos Fresnadillo,100,Jeremy Renner,Harold Perrineau,Catherine McCormack,28637507,15000000,2007
When the Game Stands Tall ,Thomas Carter,115,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,30127963,15000000,2014
Because of Winn-Dixie ,Wayne Wang,106,Cicely Tyson,Luke Benward,Eva Marie Saint,32645546,14000000,2005
Love & Basketball ,Gina Prince-Bythewood,124,Alfre Woodard,Sanaa Lathan,Omar Epps,27441122,15000000,2000
Grosse Pointe Blank ,George Armitage,107,Minnie Driver,Michael Cudlitz,Mitchell Ryan,28014536,15000000,1997
All About Steve ,Phil Traill,99,Bradley Cooper,Katy Mixon,Beth Grant,33860010,15000000,2009
Book of Shadows: Blair Witch 2 ,Joe Berlinger,90,Kim Director,Erica Leerhsen,Kurt Loder,26421314,15000000,2000
The Craft ,Andrew Fleming,101,Christine Taylor,Rachel True,Brenda Strong,24881000,15000000,1996
Match Point ,Woody Allen,119,Scarlett Johansson,Mark Gatiss,Penelope Wilton,23089926,15000000,2005
Ramona and Beezus ,Elizabeth Allen Rosenbaum,103,Sierra McCormick,Hutch Dano,Jason Spevack,26161406,15000000,2010
The Remains of the Day ,James Ivory,134,Anthony Hopkins,Peter Vaughan,Ben Chaplin,22954968,11500000,1993
Boogie Nights ,Paul Thomas Anderson,155,Don Cheadle,Nicole Ari Parker,Nina Hartley,26384919,15000000,1997
Nowhere to Run ,Robert Harmon,94,Kieran Culkin,Rosanna Arquette,Joss Ackland,22189039,15000000,1993
Flicka ,Michael Mayer,95,Alison Lohman,Danny Pino,Tim McGraw,20998709,15000000,2006
The Hills Have Eyes II ,Martin Weisz,89,Jeff Kober,Daniella Alonso,Jacob Vargas,20801344,15000000,2007
Urban Legends: Final Cut ,John Ottman,97,Loretta Devine,Joey Lawrence,Jacinda Barrett,21468807,14000000,2000
Tuck Everlasting ,Jay Russell,90,William Hurt,Sissy Spacek,Jonathan Jackson,19158074,15000000,2002
The Marine ,John Bonito,92,Kelly Carlson,Firass Dirani,Drew Powell,18843314,20000000,2006
Keanu ,Peter Atencio,100,Nia Long,Will Forte,Keegan-Michael Key,20566327,15000000,2016
Country Strong ,Shana Feste,117,Leighton Meester,Cinda McCain,Tim McGraw,20218921,15000000,2010
Disturbing Behavior ,David Nutter,84,Bruce Greenwood,Ethan Embry,Katharine Isabelle,17411331,15000000,1998
The Place Beyond the Pines ,Derek Cianfrance,140,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,21383298,15000000,2012
The November Man ,Roger Donaldson,108,Luke Bracey,Akie Kotabe,Will Patton,24984868,15000000,2014
Eye of the Beholder ,Stephan Elliott,109,Jason Priestley,Patrick Bergin,Geneviève Bujold,16459004,15000000,1999
The Hurt Locker ,Kathryn Bigelow,131,Jeremy Renner,Christian Camargo,Brian Geraghty,15700000,15000000,2008
Firestarter ,Mark L. Lester,114,Heather Locklear,George C. Scott,David Keith,15100000,15000000,1984
Killing Them Softly ,Andrew Dominik,97,Brad Pitt,Sam Shepard,Ben Mendelsohn,14938570,15000000,2012
A Most Wanted Man ,Anton Corbijn,122,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,17237244,15000000,2014
Freddy Got Fingered ,Tom Green,87,Rip Torn,Harland Williams,Eddie Kaye Thomas,14249005,15000000,2001
The Pirates Who Don't Do Anything: A VeggieTales Movie ,Mike Nawrocki,85,Yuri Lowenthal,Cam Clarke,Phil Vischer,12701880,15000000,2008
U2 3D ,Catherine Owens,85,Bono,The Edge,Larry Mullen Jr.,10353690,,2007
Highlander: Endgame ,Douglas Aarniokoski,101,Christopher Lambert,Adrian Paul,Adam Copeland,12801190,15000000,2000
Idlewild ,Bryan Barber,121,Cicely Tyson,Faizon Love,Bobb'e J. Thompson,12549485,15000000,2006
One Day ,Lone Scherfig,107,Anne Hathaway,Jim Sturgess,Rafe Spall,13766014,15000000,2011
Whip It ,Drew Barrymore,111,Daniel Stern,Jimmy Fallon,Alia Shawkat,13034417,15000000,2009
Knockaround Guys ,Brian Koppelman,92,Vin Diesel,Tom Noonan,Kevin Gage,11632420,,2001
Confidence ,James Foley,97,Louis Lombardi,Brian Van Holt,Leland Orser,12212417,15000000,2003
The Muse ,Albert Brooks,97,Jeff Bridges,Bradley Whitford,Albert Brooks,11614236,15000000,1999
De-Lovely ,Irwin Winkler,125,Kevin McNally,Keith Allen,Sandra Nelson,13337299,20000000,2004
New York Stories ,Woody Allen,124,Woody Allen,Larry David,Mia Farrow,10763469,15000000,1989
Barney's Great Adventure ,Steve Gomer,76,Trevor Morgan,Kyla Pratt,Shirley Douglas,11144518,15000000,1998
The Man with the Iron Fists ,RZA,107,Rick Yune,RZA,Daniel Wu,15608545,15000000,2012
Home Fries ,Dean Parisot,91,Catherine O'Hara,Jake Busey,Shelley Duvall,10443316,15000000,1998
Here on Earth ,Mark Piznarski,96,Bruce Greenwood,Chris Klein,Elaine Hendrix,10494147,15000000,2000
Brazil ,Terry Gilliam,142,Robert De Niro,Bob Hoskins,Jim Broadbent,9929000,15000000,1985
Raise Your Voice ,Sean McNamara,103,Oliver James,Rebecca De Mornay,Jason Ritter,10411980,15000000,2004
The Dead Zone             ,,60,David Ogden Stiers,Nicole de Boer,Chris Bruno,,,
The Big Lebowski ,Joel Coen,117,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi,17439163,15000000,1998
Black Snake Moan ,Craig Brewer,116,Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson,9396487,15000000,2006
Dark Blue ,Ron Shelton,118,Khandi Alexander,Dash Mihok,Michael Michele,9059588,15000000,2002
A Mighty Heart ,Michael Winterbottom,108,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman,9172810,16000000,2007
Whatever It Takes ,David Raynr,94,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff,8735529,15000000,2000
Boat Trip ,Mort Nathan,97,Vivica A. Fox,Lin Shaye,Bob Gunton,8586376,20000000,2002
The Importance of Being Earnest ,Oliver Parker,97,Colin Firth,Tom Wilkinson,Rupert Everett,8378141,15000000,2002
The Love Letter ,Dan Curtis,99,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,,,1998
Hoot ,Wil Shriner,91,Logan Lerman,Neil Flynn,Tim Blake Nelson,8080116,15000000,2006
In Bruges ,Martin McDonagh,107,Elizabeth Berrington,Anna Madeley,Eric Godon,7757130,15000000,2008
Peeples ,Tina Gordon Chism,95,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,9123834,15000000,2013
The Rocker ,Peter Cattaneo,102,Emma Stone,Bradley Cooper,Josh Gad,6409206,15000000,2008
Post Grad ,Vicky Jenson,88,J.K. Simmons,Zach Gilford,Bobby Coleman,6373693,15000000,2009
Promised Land ,Gus Van Sant,106,Matt Damon,Hal Holbrook,Terry Kinney,7556708,15000000,2012
Whatever Works ,Woody Allen,92,Larry David,Michael McKean,Conleth Hill,5306447,15000000,2009
The In Crowd ,Mary Lambert,105,Matthew Settle,Susan Ward,A.J. Buckley,5217498,15000000,2000
Three Burials ,Tommy Lee Jones,107,Levon Helm,Dwight Yoakam,Guillermo Arriaga,5023275,15000000,2005
Jakob the Liar ,Peter Kassovitz,120,Robin Williams,Mark Margolis,Michael Jeter,4956401,15000000,1999
Kiss Kiss Bang Bang ,Shane Black,103,Robert Downey Jr.,Corbin Bernsen,Larry Miller,4235837,15000000,2005
Idle Hands ,Rodman Flender,92,Vivica A. Fox,Fred Willard,Elden Henson,4002955,20000000,1999
Mulholland Drive ,David Lynch,147,Naomi Watts,Robert Forster,Laura Harring,7219578,15000000,2001
Blood and Chocolate ,Katja von Garnier,98,Olivier Martinez,Agnes Bruckner,Chris Geere,3525161,,2007
